published_rank,site,composite,technical,onpage,schema,geo,aeo,eeat,source,scored_at
1,yanivgoldenberg.com,97,20,15,20,25,7,10,fresh,2026-06-05
2,heroku.com,87,20,15,20,16,10,6,fresh,2026-06-05
3,amplitude.com,83,20,15,16,25,4,3,fresh,2026-06-05
4,beehiiv.com,79,20,15,17,17,10,0,fresh,2026-06-05
5,resend.com,79,20,15,17,21,4,2,fresh,2026-06-05
6,monday.com,68,17,15,13,21,0,2,fresh,2026-06-05
7,workos.com,70,20,12,12,23,3,0,fresh,2026-06-05
8,render.com,66,20,15,17,14,0,0,fresh,2026-06-05
9,stripe.com,69,17,15,17,16,4,0,fresh,2026-06-05
10,webflow.com,71,17,12,20,16,3,3,fresh,2026-06-05
11,asana.com,66,17,12,17,16,4,0,fresh,2026-06-05
12,auth0.com,75,20,15,13,21,3,3,fresh,2026-06-05
13,planetscale.com,64,20,15,13,16,0,0,fresh,2026-06-05
14,figma.com,62,20,15,13,14,0,0,fresh,2026-06-05
15,retool.com,77,20,15,17,21,4,0,fresh,2026-06-05
16,mercury.com,64,20,15,17,9,3,0,fresh,2026-06-05
17,cursor.com,65,17,15,13,16,4,0,fresh,2026-06-05
18,framer.com,61,17,15,13,16,0,0,fresh,2026-06-05
19,mongodb.com,61,17,15,13,16,0,0,fresh,2026-06-05
20,algolia.com,61,17,15,13,16,0,0,fresh,2026-06-05
21,gitlab.com,60,17,15,17,9,0,2,fresh,2026-06-05
22,calendly.com,66,17,15,13,17,4,0,fresh,2026-06-05
23,cohere.com,59,20,15,10,11,3,0,fresh,2026-06-05
24,runwayml.com,57,16,15,17,9,0,0,fresh,2026-06-05
25,sentry.io,57,20,13,13,9,0,2,fresh,2026-06-05
26,clickup.com,56,17,5,13,21,0,0,fresh,2026-06-05
27,zoom.us,54,20,13,12,9,0,0,fresh,2026-06-05
28,hubspot.com,54,17,12,13,9,3,0,fresh,2026-06-05
29,vercel.com,53,17,15,10,11,0,0,fresh,2026-06-05
30,airtable.com,60,20,15,13,9,3,0,fresh,2026-06-05
31,n8n.io,41,17,15,5,4,0,0,fresh,2026-06-05
32,loom.com,50,20,12,8,10,0,0,fresh,2026-06-05
33,slack.com,48,20,15,0,11,0,2,fresh,2026-06-05
34,supabase.com,73,20,15,13,25,0,0,fresh,2026-06-05
35,notion.so,47,20,15,0,12,0,0,fresh,2026-06-05
36,linear.app,46,20,15,0,11,0,0,fresh,2026-06-05
37,mailchimp.com,55,17,13,10,11,4,0,fresh,2026-06-05
38,zapier.com,76,20,15,20,21,0,0,fresh,2026-06-05
39,basecamp.com,47,20,15,5,4,3,0,fresh,2026-06-05
40,posthog.com,43,17,12,0,11,3,0,fresh,2026-06-05
41,clerk.com,69,17,15,17,16,4,0,fresh,2026-06-05
42,github.com,49,14,15,5,11,4,0,fresh,2026-06-05
43,huggingface.co,39,20,15,0,4,0,0,fresh,2026-06-05
44,netlify.com,39,13,15,0,11,0,0,fresh,2026-06-05
45,coda.io,42,20,15,0,4,3,0,fresh,2026-06-05
46,convertkit.com,39,20,12,0,4,3,0,fresh,2026-06-05
47,cloudflare.com,70,17,15,13,25,0,0,fresh,2026-06-05
48,anthropic.com,39,20,15,0,4,0,0,fresh,2026-06-05
49,digitalocean.com,42,20,15,0,4,3,0,fresh,2026-06-05
50,mixpanel.com,36,17,15,0,4,0,0,fresh,2026-06-05
51,segment.com,36,17,15,0,4,0,0,fresh,2026-06-05
52,databricks.com,51,20,12,0,16,3,0,fresh,2026-06-05
53,snowflake.com,49,20,15,10,4,0,0,fresh,2026-06-05
54,datadog.com,34,13,10,0,11,0,0,fresh,2026-06-05
55,replicate.com,37,20,10,0,4,3,0,fresh,2026-06-05
56,fly.io,28,9,12,0,4,3,0,fresh,2026-06-05
57,ramp.com,70,20,15,20,11,4,0,fresh,2026-06-05
58,canva.com,37,16,12,0,9,0,0,fresh,2026-06-05
59,openai.com,36,17,15,0,4,0,0,fresh,2026-06-05
60,perplexity.ai,34,17,13,0,4,0,0,fresh,2026-06-05
61,railway.app,68,20,15,13,16,4,0,fresh,2026-06-05
